ARCH;;;;;;;;
;IPC_brut_Insee;IPCSJ_insee;IPC;IPCSJ;COEFPOIDSIPCSJ;COEFPOIDSIPCVOL;TICPE_PAR_BARIL;blabla
Comment;projbe2_ipc = extrapsd(projbe2_ipc.1+0.003-0.00013.0.2017Q1.2017Q4);projbe2_ipcsj = extrapsd(projbe2_ipcsj.1+0.0034.0.2017Q2.2017Q4);projbe2_ipc = extrapsd(projbe2_ipc.1+0.003-0.00013.0.2017Q1.2017Q4);projbe2_ipcsj = extrapsd(projbe2_ipcsj.1+0.0034.0.2017Q2.2017Q4);COEFPOIDSIPCSJ;COEFPOIDSIPCVOL;TICPE_PAR_BARIL;blabla
Org.;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS
Type;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric
2001Q3;81.53;84.3333333333333;81.5120450882203;83.7276443908613;6135;3865;67.6353268539414;0
2001Q4;81.5666666666667;84.7666666666667;81.6786682384415;84.1468209432633;6135;3865;67.6404377891031;0
2002Q1;82.1266666666667;85.2666666666667;82.2244029052595;84.5962425547683;6172;3828;69.476499599374;0
2002Q2;82.7733333333333;85.6666666666667;82.5243703256679;85.0151591930896;6172;3828;69.309703003533;0
2002Q3;82.9766666666667;86.0666666666667;82.957656599591;85.3435448315129;6172;3828;71.2964738150126;0
2002Q4;83.3166666666667;86.3333333333333;83.3909428735141;85.6640984828872;6172;3828;71.9032664010181;0
2003Q1;84.07;86.8;84.1778699414517;85.9247450739282;6146;3854;69.2370297238195;0
2003Q2;84.3566666666667;87.0333333333333;84.1112207966049;86.2891771986229;6146;3854;69.2370297238195;0
2003Q3;84.58;87.3333333333333;84.5444402381088;86.6092653647715;6146;3854;69.2370297238195;0
2003Q4;85.1366666666667;87.8333333333333;85.2109316865764;87.0849825112268;6146;3854;69.2377012192064;0
2004Q1;85.5833333333333;88.1666666666667;85.7217174223155;87.3686171275153;6133;3867;70.3562351503335;0
2004Q2;86.3733333333333;88.5;86.1216632267742;87.7232879965809;6133;3867;70.5616220789098;0
2004Q3;86.5133333333333;88.8333333333333;86.4882802141947;88.0852994681545;6133;3867;70.5603144817225;0
2004Q4;86.9166666666667;88.9666666666667;86.9548836527298;88.2944623306993;6133;3867;70.5569213810058;0
