ARCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CICE_D39;OUV_OCDE;EMPLOI_ESTEL;PE;SMB;TXENT;spd_ent;SFP;TEMPVS1;IMMAT;PIMMOP;PIMMO;PART_EMERGENTS_CPB;Dummy2009q1plus;Dummy2011q1;TENDP1MI;Dummy2000q2plus;BALneg;BALpos;JUPneg;JUPpos;FILneg;indic1999q3;indiccrise;Dummy1998q1plus;trendavant1998;Dummy2009q2;Trend1990Q2;Trend2000Q4;Trend2001Q1;Trend2011Q3;Rupt2008Q4;TENDP2BMNA5
Comment;CICE_D39;OUV_OCDE;EMPLOI_ESTEL;Effets des politique de l'emploi;SMB;TXENT;spd_ent;SFP;TEMPVS1;IMMAT;PIMMOP;PIMMO;PART_EMERGENTS_CPB;Dummy2009q1plus;Dummy2011q1;TENDP1MI;Dummy2000q2plus;BALneg;BALpos;JUPneg;JUPpos;FILneg;indic1999q3;indiccrise;Dummy1998q1plus;trendavant1998;Dummy2009q2;Trend1990Q2;Trend2000Q4;Trend2001Q1;Trend2011Q3;Rupt2008Q4;TENDP2BMNA5
Org.;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS
Type;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric
1985Q3;0;0.11703057511937;13376.1073358323;73.9951866159781;102.57;12.26;2.71333333333333;-0.674866558188047;0;453783;22.6218983488618;28.4717170808933;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1985Q4;0;0.117612487525283;13399.0514385829;75.5970788929057;103.82;11.9;3.02333333333333;0.425634461341922;0;444384;23.2209138575835;28.6924504066066;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1986Q1;0;0.118599479329258;13408.8991287014;76.9213896211753;104.71;11.58;3.08;-0.53284679489745;0;452056;23.8252734470564;28.8919883365276;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1986Q2;0;0.119816813949883;13432.5538895018;78.7060798827866;105.73;11.64;4.39;2.37869104774987;0;480751;24.5236952857093;29.1632905981093;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1986Q3;0;0.121016414748936;13434.9904313868;81.319214225689;106.46;10.44;3.44;2.02626417668957;0;474852;25.3161794195219;29.5063571913519;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1986Q4;0;0.122136431648045;13410.8280576938;85.0835865264328;107.1;9.69;2.60666666666667;2.79821880125329;0;496650;26.2027258484942;29.9211881162553;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1987Q1;0;0.123185758547677;13415.7011414638;90.0307711498107;108.1;9.12;1.20333333333333;-3.62362930458286;0;498123;27.1833345266465;30.407783424347;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1987Q2;0;0.124411850066919;13462.1984824361;94.9174515389564;109.1;10.2;2.53333333333333;-3.92821081900392;0;520297;28.3829231518706;31.0120314430282;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1987Q3;0;0.125497376569821;13478.7466627385;98.3846638380884;110.13;9.55;2.05;-2.00531944781133;0;517286;29.8014917241666;31.7339322753538;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1987Q4;0;0.126849558462259;13507.680597623;101.250060794922;111.01;9.86;2.11;0.757159571398112;0;579038;31.4390401975548;32.5734858182689;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1988Q1;0;0.128407587385693;13576.005292982;102.12640083862;112.09;9.74;2.49;2.49048530221132;0;525921;33.2955686180148;33.530692123301;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1988Q2;0;0.12985651255171;13635.8020917433;101.589755516924;113.174182;9.07;1.98666666666667;4.73670024455649;0;508680;35.1906787293946;34.5167926590972;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1988Q3;0;0.131229765202774;13713.2638191711;101.211915191879;113.936373183124;9.19;2.27333333333333;4.70622439735816;0;548805;37.1243705776738;35.5317873226024;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1988Q4;0;0.133080899325353;13806.7661140085;101.299586923105;115.023616488462;8.92;1.50333333333333;5.49992338920736;0;598567;39.096644070893;36.5756761138168;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1989Q1;0;0.134645794985041;13914.2785246847;101.898523375269;116.503164079231;9.15;0.9;5.02800805044994;0;577703;41.1074993010117;37.6484591357953;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1989Q2;0;0.136064725393849;13998.034651982;102.716133004717;117.646450853917;9.85;1.6;3.80827312056058;0;566044;43.1986078856846;38.6825652662066;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1989Q3;0;0.137512135327506;14063.922805456;104.234229921154;118.868198485689;9.57;0.82;5.96975613063984;0;584366;45.3699698249118;39.6779944535232;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1989Q4;0;0.138754062239358;14173.465667703;106.541407406416;120.078737423591;9.91;0.243333333333331;5.32729603168298;0;593591;47.6215850727135;40.6347468008002;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1990Q1;0;0.139838101668374;14222.9071634531;106.010626553034;122.163554483312;10.37;0.369999999999999;7.15548486429937;1.27430203533026;600884;49.9534537210492;41.5528222049824;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1990Q2;0;0.141081003232931;14290.6227233408;105.693353702388;123.699145543429;10.66;1.16;4.63780033781085;-1.55601075268817;585515;51.7483300980813;42.4060715657713;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0
1990Q3;0;0.141882723147461;14293.1607878043;105.820579636239;124.786388848767;10.64;1.14;2.05744644978631;-0.340639336917565;577594;53.0062142497895;43.1944949346944;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0
1990Q4;0;0.142466856575174;14323.4145162099;104.128767524814;126.153849500842;10.65;1.31666666666667;-0.484064985229862;-0.685912634408602;526622;53.7271061761738;43.9180922602242;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;0;0;0;0;0
1991Q1;0;0.143281888990315;14321.181019482;106.483200277729;127.44284929583;10.68;1.51333333333333;-0.597587278322097;-1.25903129800307;524902;53.9110059232139;44.5768635423606;93.3851371514114;0;0;0;0;0;0;0;0;0;0;0;0;5;0;4;0;0;0;0;0
1991Q2;0;0.144171310915081;14266.1557819121;109.001435666167;129.13536207012;10.69;1.69;0.813169325788701;-3.18934408602151;517089;53.6002451469308;44.9412156015608;92.2734871799549;0;0;0;0;0;0;0;0;0;0;0;0;6;0;5;0;0;0;0;0
1991Q3;0;0.145251788064665;14242.8055888474;111.784317199632;129.909966;10.62;1.62;-0.968596845667906;0.426027329749104;524739;52.7948238933042;45.0111484378248;91.9781540191106;0;0;0;0;0;0;0;0;0;0;0;0;7;0;6;0;0;0;0;0
1991Q4;0;0.146486547746294;14232.1457181004;111.093322640284;130.943047240557;10.45;1.25;0.869681464867968;-1.61924596774193;496583;51.494742162334;44.78666210268;91.2958625324412;0;0;0;0;0;0;0;0;0;0;0;0;8;0;7;0;0;0;0;0
1992Q1;0;0.147420542685111;14208.6940024572;109.300232210274;132.608890740954;10.84;1.24;2.49887926230269;-1.19236463133641;522052;49.7;44.2677564930715;92.7968264545673;0;0;0;0;0;0;0;0;0;0;0;0;9;0;8;0;0;0;0;0
1992Q2;0;0.148173669550043;14168.4910613545;108.21124244145;133.77110713658;11.15;1.55;0.668696504094317;-1.32267741935484;507231;47.9;43.8724601793517;93.2575240444341;0;0;0;0;0;0;0;0;0;0;0;0;10;0;9;0;0;0;0;0
1992Q3;0;0.14836682112992;14105.0394497656;105.469817951957;134.636312675547;10.75;1.15;0.21072181258358;-0.740639336917567;516822;47.1;43.6007731615205;93.4673351868711;0;0;0;0;0;0;0;0;0;0;0;0;11;0;10;0;0;0;0;0
1992Q4;0;0.148289122811968;13988.288484442;106.257604111932;135.488604699006;11.27;2.00333333333333;0.921702421019409;-0.652579301075269;550621;46.8;43.4526954395781;95.4136389060973;0;0;0;0;0;0;0;0;0;0;0;0;12;0;11;0;0;0;0;0
1993Q1;0;0.148415761390811;13899.6592733746;106.661509685538;136.315069691451;11;1.9;-0.252303813224563;-0.859031298003072;416697;44.9;43.4282269619968;97.1224841180533;0;0;0;0;1;0;0;0;0;0;0;0;13;0;12;0;0;0;0;0
1993Q2;0;0.149085127251059;13803.111301181;108.940287146164;136.5233;10.54;2.95666666666667;-7.46577373685231;-0.956010752688176;428474;44.4;43.3604071161599;96.6795042785979;0;0;0;0;0;0;0;0;0;0;0;0;14;0;13;0;0;0;0;0
1993Q3;0;0.149957450051972;13783.8220112579;110.945803789233;137.31394916625;9.3;2.55;-9.53756633831991;-1.97397267025089;433987;44;43.2492358505399;97.9922932655308;0;0;0;0;0;0;0;0;0;0;0;0;15;0;14;0;0;0;0;0
