Code_Opale_Publi;IDBANK
TD_D319_KZ3;1689033
TD_D319_MN1;1689034
TD_D319_MN3;1689035
TD_D319_OQ1;1689036
TD_D319_OQ3;1689037
TD_D319_RU1;1689038
TD_D319_RU3;1689039
TD_D319_D3;1689040
TD_D319_D7_CH;1689041
TD_D319_DB3;1689042
TD_D319_DB7_CH;1689043
TD_D319_DI3;1689044
TD_D319_DI7_CH;1689045
TD_D319_DIM3;1689046
TD_D319_DIM7_CH;1689047
TD_D319_DS1;1689048
TD_D319_DS3;1689049
TD_D319_DSM1;1689050
TD_D319_DSM3;1689051
TD_D319_DSN1;1689052
TD_D319_DSN3;1689053
TD_P51_C57_CH;1689054
TD_P51_FZ3;1689055
TD_P51_FZ7_CH;1689056
TD_P51_JZ3;1689057
TD_P51_JZ7_CH;1689058
TD_P51_LZ3;1689059
TD_P51_LZ7_CH;1689060
TD_P51_MN3;1689061
TD_P51_MN7_CH;1689062
TD_P51_RU3;1689063
TD_P51_RU7_CH;1689064
TD_P51_D3;1689065
TD_P51_D7_CH;1689066
TD_P51_DB3;1689067
TD_P51_DB7_CH;1689068
TD_P51_DI3;1689069
TD_P51_DI7_CH;1689070
TD_P51_DIM3;1689071
TD_P51_DIM7_CH;1689072
TD_P51_DS3;1689073
TD_P51_DS7_CH;1689074
TD_P51_DSM3;1689075
TD_P51_DSM7_CH;1689076
TD_P51B_C33;1689077
TD_P51B_C37_CH;1689078
TC_D1_C53;1689079
TC_D1_DE3;1689080
TC_D1_FZ3;1689081
TC_D1_GZ3;1689082
TC_D1_HZ3;1689083
TC_D1_IZ3;1689084
TC_D1_JZ3;1689085
TC_D1_KZ3;1689086
TC_D1_LZ3;1689087
TC_D1_MN3;1689088
TC_D1_OQ3;1689089
TC_D1_RU3;1689090
TC_D1_D3;1689091
TC_D1_DI3;1689092
TC_D1_DIM3;1689093
TC_D1_DS3;1689094
TC_D1_DSM3;1689095
TC_D1_DSN3;1689096
TC_D1_S11E3;1689097
TC_D1_S12E3;1689098
TC_D1_S13E3;1689099
TC_D1_S14AE3;1689100
TC_D1_S14BE3;1689101
TC_D1_S15E3;1689102
TC_D1_S1AE3;1689103
TC_D1_S1E3;1689104
TC_D1_S2AE3;1689105
TC_EMPNS_GZ1;1689106
TC_EMPNS_GZ7;1689107
TC_EMPNS_HZ1;1689108
TC_EMPNS_HZ7;1689109
TC_EMPNS_IZ1;1689110
TC_EMPNS_IZ7;1689111
TC_EMPNS_JZ1;1689112
TC_EMPNS_JZ7;1689113
TC_EMPNS_KZ1;1689114
TC_EMPNS_KZ7;1689115
TC_EMPNS_LZ1;1689116
TC_EMPNS_LZ7;1689117
TC_EMPNS_MN1;1689118
TC_EMPNS_MN7;1689119
TC_EMPNS_OQ1;1689120
TC_EMPNS_OQ7;1689121
TC_EMPNS_RU1;1689122
TC_EMPNS_RU7;1689123
TC_EMPNS_D1;1689124
TC_EMPNS_D7;1689125
TC_EMPNS_DI1;1689126
TC_EMPNS_DI7;1689127
TC_EMPNS_DIM1;1689128
TC_EMPNS_DIM7;1689129
TC_EMPNS_DS1;1689130
TC_EMPNS_DS7;1689131
TD_D319_S13R3;1689132
TD_D319_S2R3;1689133
TD_D631_S13E3;1689134
TD_D631_S14R3;1689135
TD_D631_S15E3;1689136
TD_D632_S13E3;1689137
TD_D632_S14R3;1689138
TD_P51B_C43;1689159
TD_P51B_C47_CH;1689160
TD_P51B_C53;1689161
TD_P51B_C57_CH;1689162
TD_P51B_FZ3;1689163
TD_P51B_FZ7_CH;1689164
TD_P51B_JZ3;1689165
TD_P51B_JZ7_CH;1689166
TD_P51B_LZ3;1689167
TD_P51B_LZ7_CH;1689168
TD_P51B_MN3;1689169
TD_P51B_MN7_CH;1689170
TD_P51B_RU3;1689171
TD_P51B_RU7_CH;1689172
TD_P51B_D3;1689173
TD_P51B_D7_CH;1689174
TD_P51B_DB3;1689175
TD_P51B_DB7_CH;1689176
TD_P51B_DI3;1689177
TD_P51B_DI7_CH;1689178
TD_P51B_DIM3;1689179
TD_P51B_DIM7_CH;1689180
TD_P51B_DS3;1689181
TD_P51B_DS7_CH;1689182
TD_P51B_DSM3;1689183
TD_P51B_DSM7_CH;1689184
TC_D1_SMNA3;1689185
TC_D11_AZ3;1689186
TC_D11_C13;1689187
TC_D11_C23;1689188
TC_D11_C33;1689189
TC_D11_C43;1689190
TC_D11_C53;1689191
